,date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
13,2022-03-18,30.0,30.0,94.0,37.0
12,2022-03-19,25.0,25.0,96.0,50.0
11,2022-03-20,38.0,38.0,95.0,40.0
10,2022-03-21,69.0,69.0,99.0,56.0
9,2022-03-22,39.0,39.0,97.0,49.0
8,2022-03-23,14.0,14.0,93.0,57.0
7,2022-03-24,8.0,13.0,8.0,27.0
6,2022-03-25,39.0,39.0,99.0,62.0
5,2022-03-26,71.0,71.0,93.0,32.0
4,2022-03-27,82.0,82.0,83.0,68.0
3,2022-03-29,93.0,93.0,99.0,54.0
2,2022-03-30,37.0,37.0,99.0,58.0
1,2022-03-31,37.0,37.0,98.0,48.0
0,2022-04-01,60.0,60.0,99.0,56.0
29,2022-04-01,60.0,60.0,99.0,56.0
28,2022-04-02,85.0,85.0,97.0,52.0
27,2022-04-03,95.0,95.0,96.0,46.0
26,2022-04-04,100.0,100.0,97.0,54.0
25,2022-04-06,50.0,50.0,83.0,74.0
24,2022-04-07,75.0,75.0,99.0,50.0
23,2022-04-08,88.0,88.0,100.0,55.0
22,2022-04-09,95.0,95.0,99.0,49.0
21,2022-04-10,100.0,100.0,100.0,53.0
20,2022-04-11,100.0,100.0,88.0,54.0
19,2022-04-12,63.0,63.0,43.0,48.0
18,2022-04-13,15.0,15.0,68.0,38.0
17,2022-04-14,58.0,58.0,93.0,60.0
16,2022-04-15,3.0,40.0,3.0,38.0
15,2022-04-16,68.0,68.0,96.0,51.0
14,2022-04-17,80.0,80.0,99.0,51.0
13,2022-04-18,91.0,91.0,99.0,59.0
12,2022-04-19,65.0,65.0,99.0,49.0
11,2022-04-20,61.0,61.0,99.0,52.0
10,2022-04-21,47.0,47.0,98.0,49.0
9,2022-04-22,39.0,39.0,98.0,51.0
8,2022-04-23,48.0,48.0,94.0,35.0
7,2022-04-24,77.0,77.0,99.0,51.0
6,2022-04-25,94.0,94.0,99.0,53.0
5,2022-04-26,70.0,70.0,96.0,37.0
4,2022-04-27,67.0,67.0,92.0,49.0
3,2022-04-28,62.0,62.0,96.0,48.0
2,2022-04-29,78.0,78.0,97.0,49.0
1,2022-04-30,100.0,100.0,86.0,59.0
30,2022-05-01,68.0,68.0,93.0,44.0
0,2022-05-01,68.0,68.0,93.0,44.0
29,2022-05-02,89.0,89.0,94.0,46.0
28,2022-05-03,100.0,100.0,89.0,51.0
27,2022-05-04,60.0,60.0,89.0,45.0
26,2022-05-05,43.0,43.0,96.0,53.0
25,2022-05-06,31.0,31.0,83.0,35.0
24,2022-05-07,49.0,49.0,86.0,49.0
23,2022-05-09,77.0,77.0,94.0,75.0
22,2022-05-10,88.0,88.0,96.0,53.0
21,2022-05-11,94.0,94.0,39.0,56.0
20,2022-05-12,17.0,100.0,17.0,56.0
19,2022-05-13,26.0,82.0,26.0,53.0
18,2022-05-14,94.0,94.0,89.0,60.0
17,2022-05-15,20.0,20.0,98.0,53.0
16,2022-05-16,55.0,55.0,99.0,62.0
15,2022-05-17,47.0,47.0,99.0,44.0
14,2022-05-18,20.0,20.0,94.0,48.0
13,2022-05-19,32.0,32.0,90.0,58.0
12,2022-05-20,66.0,66.0,43.0,41.0
11,2022-05-21,81.0,81.0,97.0,61.0
10,2022-05-22,57.0,57.0,91.0,56.0
9,2022-05-23,78.0,78.0,86.0,33.0
8,2022-05-24,98.0,98.0,99.0,68.0
7,2022-05-25,96.0,96.0,100.0,58.0
6,2022-05-26,91.0,91.0,99.0,53.0
5,2022-05-27,70.0,70.0,99.0,55.0
4,2022-05-28,74.0,74.0,98.0,38.0
3,2022-05-29,73.0,73.0,88.0,38.0
2,2022-05-30,89.0,89.0,97.0,59.0
1,2022-05-31,55.0,55.0,91.0,54.0
0,2022-06-01,28.0,28.0,90.0,46.0
30,2022-06-01,28.0,28.0,90.0,46.0
29,2022-06-02,1.0,0.0,95.0,53.0
28,2022-06-03,1.0,0.0,98.0,55.0
27,2022-06-04,13.0,13.0,98.0,52.0
26,2022-06-05,39.0,39.0,98.0,58.0
25,2022-06-06,22.0,22.0,64.0,35.0
24,2022-06-07,56.0,56.0,98.0,49.0
23,2022-06-08,58.0,58.0,82.0,46.0
22,2022-06-09,73.0,73.0,83.0,49.0
21,2022-06-10,79.0,79.0,95.0,51.0
20,2022-06-11,100.0,100.0,96.0,45.0
19,2022-06-12,100.0,100.0,96.0,56.0
18,2022-06-13,99.0,99.0,85.0,53.0
17,2022-06-14,77.0,77.0,86.0,55.0
16,2022-06-15,68.0,68.0,89.0,58.0
15,2022-06-16,79.0,79.0,88.0,60.0
14,2022-06-17,67.0,67.0,92.0,56.0
13,2022-06-18,77.0,77.0,93.0,58.0
12,2022-06-19,69.0,69.0,88.0,56.0
11,2022-06-20,90.0,90.0,96.0,65.0
10,2022-06-21,76.0,76.0,90.0,61.0
9,2022-06-22,41.0,41.0,87.0,63.0
