date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2023-03-01,58.0,58.0,98.0,48.0
2023-02-28,79.0,79.0,98.0,50.0
2023-02-27,90.0,90.0,100.0,50.0
2023-02-26,93.0,93.0,98.0,64.0
2023-02-25,75.0,75.0,47.0,49.0
2023-02-24,81.0,81.0,97.0,59.0
2023-02-23,65.0,65.0,93.0,48.0
2023-02-22,73.0,73.0,98.0,58.0
2023-02-21,98.0,98.0,87.0,61.0
2023-02-20,88.0,88.0,98.0,56.0
2023-02-19,100.0,100.0,100.0,56.0
2023-02-18,93.0,93.0,92.0,39.0
2023-02-17,61.0,61.0,99.0,47.0
2023-02-16,55.0,55.0,97.0,41.0
2023-02-15,28.0,28.0,99.0,61.0
2023-02-14,39.0,39.0,98.0,63.0
2023-02-13,14.0,14.0,17.0,29.0
2023-02-12,33.0,33.0,99.0,59.0
2023-02-11,1.0,0.0,51.0,36.0
2023-02-10,75.0,75.0,99.0,66.0
2023-02-01,89.0,89.0,87.0,66.0
