sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
40548889302,2023-03-13T06:05:00Z,77,21,18,38,59,63,0.060453400503778336
40538116210,2023-03-12T08:28:30Z,86,23,18,45,118,65,0.08705035971223021
40528049175,2023-03-11T10:46:30Z,69,21,13,35,63,63,0.0697084917617237
40514105184,2023-03-10T07:01:30Z,85,20,21,44,81,65,0.06602953953084274
40504889919,2023-03-09T12:44:30Z,61,14,21,26,40,65,0.12025316455696203
40500333790,2023-03-09T06:33:30Z,58,15,15,28,55,65,0.12071330589849108
40490150704,2023-03-08T06:04:30Z,83,16,23,44,59,68,0.06134969325153374
40483918940,2023-03-07T18:09:00Z,58,14,17,27,29,66,0.07066381156316917
40477423697,2023-03-07T11:40:30Z,56,16,9,31,66,66,0.20021528525296017
40458312166,2023-03-06T07:02:30Z,91,22,23,46,93,67,0.045413260672116255
40441888570,2023-03-05T07:00:00Z,71,18,16,37,105,65,0.05613577023498695
40430941927,2023-03-04T08:36:30Z,82,22,15,45,105,62,0.07606084867894315
40416324850,2023-03-03T05:58:00Z,88,21,21,46,107,64,0.07029053420805999
40400642734,2023-03-02T06:05:00Z,69,19,16,34,48,65,0.08633879781420765
40388054628,2023-03-01T05:51:30Z,74,17,17,40,87,63,0.05337361530715005
40377008022,2023-02-28T06:37:00Z,72,21,15,36,101,63,0.10703043022035677
40360973281,2023-02-27T06:32:30Z,76,18,19,39,64,64,0.07749077490774908
40350777685,2023-02-26T06:59:00Z,88,23,23,42,109,66,0.0575609756097561
40344407674,2023-02-25T20:03:30Z,47,14,13,20,9,63,0.07975460122699386
40336760032,2023-02-25T06:10:30Z,56,19,13,24,47,63,0.09547738693467336
40324916662,2023-02-24T06:04:30Z,81,21,22,38,107,65,0.07162790697674419
40311854846,2023-02-23T07:02:30Z,68,22,11,35,98,63,0.15070093457943926
40299594139,2023-02-22T06:04:00Z,77,18,17,42,56,62,0.06116207951070336
40286887151,2023-02-21T07:59:00Z,64,20,17,27,47,61,0.09740259740259741
40277493925,2023-02-20T07:58:30Z,81,21,19,41,54,63,0.06956521739130435
40263405938,2023-02-19T06:57:30Z,83,17,20,46,94,65,0.06173913043478261
40253344394,2023-02-18T14:16:30Z,77,22,11,44,83,64,0.13831360946745563
40240105995,2023-02-17T07:47:30Z,80,18,17,45,88,63,0.056393963463065924
40225961940,2023-02-16T08:39:30Z,57,17,12,28,34,61,0.09234828496042216
40210806599,2023-02-15T08:30:30Z,77,17,16,44,99,62,0.11156685808039377
40195076897,2023-02-14T06:44:30Z,87,21,21,45,110,64,0.05018450184501845
40187126260,2023-02-13T16:51:30Z,61,17,12,32,45,63,0.08652246256239601
40170221053,2023-02-12T08:18:30Z,88,20,24,44,78,65,0.0709849157054126
40164099909,2023-02-11T20:34:30Z,61,19,14,28,17,63,0.04032258064516129
40158943096,2023-02-11T10:05:00Z,66,21,11,34,68,63,0.12011577424023155
40144177573,2023-02-10T06:13:30Z,87,18,23,46,86,65,0.0445414847161572
40135889939,2023-02-09T18:08:30Z,67,19,19,29,48,65,0.04892367906066536
40134431406,2023-02-09T09:02:30Z,69,20,20,29,38,65,0.06172839506172839
40118175578,2023-02-08T07:03:30Z,82,21,16,45,70,63,0.07074235807860262
40028713974,2023-02-01T06:59:30Z,90,21,23,46,77,65,0.05320108205590622
40017524004,2023-01-31T07:10:00Z,86,22,18,46,83,65,0.07192575406032482
39990591108,2023-01-29T06:58:30Z,78,17,21,40,71,67,0.08201304753028892
39980836219,2023-01-28T14:08:00Z,76,21,12,43,74,64,0.11942347288949898
39965043410,2023-01-27T05:18:00Z,83,18,23,42,101,67,0.06614785992217899
39957670345,2023-01-26T10:03:00Z,75,21,14,40,56,67,0.1063627730294397
39941481140,2023-01-25T07:50:30Z,85,17,23,45,58,69,0.08063102541630149
39932020754,2023-01-24T09:45:30Z,78,22,15,41,91,68,0.0908130939809926
39915316001,2023-01-23T09:14:30Z,80,17,20,43,63,70,0.0875309661436829
39901136585,2023-01-22T05:53:30Z,88,20,23,45,107,72,0.05814905814905815
39892790145,2023-01-21T14:44:00Z,50,13,12,25,23,70,0.08816705336426914
39889747236,2023-01-21T09:19:00Z,65,21,13,31,47,70,0.05725971370143149
39876727939,2023-01-20T06:41:00Z,86,20,21,45,93,72,0.051899907321594066
39865601900,2023-01-19T09:33:00Z,84,21,18,45,76,74,0.10210444271239283
39850002417,2023-01-18T05:23:30Z,69,21,13,35,49,71,0.10010537407797682
39836496823,2023-01-17T09:03:30Z,72,15,21,36,52,73,0.13321492007104796
39827842174,2023-01-16T08:03:30Z,85,23,17,45,113,73,0.1024978466838932
39812383478,2023-01-15T07:00:30Z,91,23,23,45,111,75,0.07285828662930344
39803762739,2023-01-14T09:17:30Z,61,20,13,28,51,71,0.0613107822410148
39790243492,2023-01-13T06:59:00Z,86,20,21,45,133,73,0.07137254901960784
39780600610,2023-01-12T14:26:30Z,47,13,12,22,33,71,0.19693654266958424
39778178938,2023-01-12T09:08:30Z,66,20,11,35,64,71,0.11878787878787879
39764439449,2023-01-11T07:20:00Z,85,23,16,46,110,69,0.06289881494986327
39755128505,2023-01-10T08:00:00Z,83,21,18,44,65,69,0.09403862300587741
39742103591,2023-01-09T11:09:00Z,81,22,14,45,83,67,0.0726159230096238
39723889828,2023-01-08T03:59:30Z,66,20,18,28,45,66,0.0836940836940837
39717212839,2023-01-07T10:06:00Z,75,16,17,42,55,67,0.08422071636011616
39705070044,2023-01-06T12:50:30Z,80,17,19,44,106,68,0.07965970610982212
39695362016,2023-01-05T15:14:30Z,69,18,23,28,6,71,0.03777777777777778
39691310063,2023-01-05T08:14:00Z,81,21,22,38,73,71,0.051434223541048464
39676055578,2023-01-04T08:51:30Z,76,17,23,36,94,73,0.08532778355879292
39665322584,2023-01-03T09:58:30Z,86,19,22,45,90,76,0.08685258964143426
39652442025,2023-01-02T09:52:00Z,62,19,10,33,86,72,0.1492109038737446
39636858530,2023-01-01T09:49:00Z,90,23,21,46,111,74,0.06449422946367957
39630641877,2022-12-31T15:46:00Z,54,13,14,27,,72,0.03125
39629820916,2022-12-31T10:47:30Z,73,21,13,39,98,72,0.060324825986078884
39614662205,2022-12-30T05:16:00Z,71,21,14,36,98,71,0.08953341740226986
39606723312,2022-12-29T15:06:30Z,80,24,15,41,144,72,0.11822338340953625
39591920739,2022-12-28T07:38:00Z,80,19,19,42,82,70,0.06183574879227053
39579959936,2022-12-27T07:45:00Z,82,20,17,45,100,69,0.09082969432314411
39569449856,2022-12-26T08:44:00Z,83,19,19,45,79,72,0.10338983050847457
39558662153,2022-12-25T11:24:00Z,84,19,23,42,115,74,0.06699615595826469
39547721207,2022-12-24T07:11:00Z,63,21,14,28,42,72,0.02959830866807611
39538936655,2022-12-23T08:25:30Z,83,22,18,43,93,71,0.05393743257820928
39527476142,2022-12-22T07:54:30Z,86,24,16,46,130,71,0.08695652173913043
39516893703,2022-12-21T08:29:00Z,72,18,19,35,18,73,0.0875106202209006
39503818293,2022-12-20T07:36:30Z,69,16,17,36,81,74,0.12210915818686402
39489942664,2022-12-19T07:19:00Z,83,18,20,45,70,75,0.06414219474497682
39477840353,2022-12-18T10:19:30Z,76,19,13,44,73,72,0.11013215859030837
39469535247,2022-12-17T11:50:00Z,69,22,10,37,104,70,0.14825046040515655
39460976673,2022-12-16T10:21:00Z,81,21,16,44,78,70,0.10816468946266573
39446569639,2022-12-15T07:55:00Z,81,19,20,42,70,70,0.06471816283924843
39431132548,2022-12-14T06:33:30Z,79,22,14,43,87,70,0.08188331627430911
39419858416,2022-12-13T07:57:00Z,75,21,14,40,46,68,0.06423034330011074
39406887432,2022-12-12T07:33:30Z,84,18,21,45,84,70,0.08406026962727994
39394816934,2022-12-11T07:00:00Z,75,20,13,42,100,68,0.08153701968134958
39385615410,2022-12-10T06:56:30Z,83,23,14,46,106,67,0.07238605898123325
39372161734,2022-12-09T06:13:00Z,78,19,20,39,62,69,0.09502262443438914
39360656489,2022-12-08T08:40:30Z,87,20,22,45,86,71,0.05303030303030303
39344100877,2022-12-07T05:51:00Z,81,18,21,42,103,73,0.0867224880382775
39342414370,2022-12-06T12:57:30Z,61,20,12,29,51,72,0.0845771144278607
39324044671,2022-12-05T08:44:00Z,83,25,14,44,153,70,0.1
39315438327,2022-12-04T06:57:30Z,77,20,22,35,37,73,0.07339449541284404
39305864198,2022-12-03T07:56:00Z,76,22,12,42,108,72,0.08263598326359832
39294260613,2022-12-02T06:00:00Z,84,21,22,41,63,71,0.03838383838383838
39281971223,2022-12-01T05:59:30Z,86,23,22,41,113,72,0.03330161750713606
39269712441,2022-11-30T06:00:00Z,86,21,23,42,46,73,0.05656565656565657
39262129084,2022-11-29T08:57:30Z,78,22,15,41,84,72,0.10009442870632672
39245343906,2022-11-28T04:35:30Z,84,19,23,42,59,74,0.044585987261146494
39245343905,2022-11-27T16:09:00Z,70,21,21,28,47,75,0.029484029484029485
39245343904,2022-11-27T06:46:00Z,74,20,18,36,84,75,0.11298701298701298
39226364875,2022-11-26T08:05:30Z,82,19,19,44,89,76,0.09948032665181886
39226364873,2022-11-25T10:00:00Z,85,19,20,46,75,75,0.0639481000926784
39203240349,2022-11-24T08:38:30Z,78,16,18,44,74,77,0.1231696813092162
39203240348,2022-11-23T08:04:30Z,84,17,21,46,68,78,0.07712765957446809
39185328332,2022-11-22T16:22:00Z,58,17,13,28,54,75,0.05555555555555555
39181840128,2022-11-22T08:41:30Z,63,19,11,33,86,75,0.1062937062937063
39166724664,2022-11-21T06:57:00Z,73,19,16,38,83,73,0.0552423900789177
39166724662,2022-11-20T08:21:00Z,78,17,17,44,48,73,0.12193056731583404
39166724661,2022-11-19T08:55:00Z,68,19,19,30,26,72,0.09705372616984402
39166724660,2022-11-19T02:40:30Z,59,18,12,29,5,72,0.08766716196136701
39166724659,2022-11-18T10:16:00Z,84,19,21,44,80,71,0.053103007037747924
39166724658,2022-11-16T05:22:30Z,68,20,13,35,39,69,0.06269925611052073
39166724657,2022-11-15T06:38:30Z,78,17,16,45,57,69,0.05361702127659575
39059570087,2022-11-12T05:59:00Z,75,20,16,39,30,65,0.04814004376367615
39059570086,2022-11-11T08:36:00Z,84,20,19,45,66,64,0.0684931506849315
39034818108,2022-11-10T05:05:00Z,69,19,14,36,53,62,0.056790123456790124
39034818107,2022-11-09T06:04:00Z,63,16,18,29,19,61,0.06229508196721312
39034818105,2022-11-08T15:03:00Z,65,17,21,27,48,61,0.052742616033755275
39034818104,2022-11-08T08:50:00Z,55,19,14,22,42,61,0.06631762652705062
39034818103,2022-11-08T01:03:30Z,59,16,15,28,30,61,0.08967391304347826
39002215450,2022-11-07T07:34:30Z,76,17,16,43,32,63,0.117798796216681
39002215448,2022-11-06T04:10:30Z,79,22,20,37,92,63,0.048109965635738834
39002215445,2022-11-05T09:18:30Z,68,20,14,34,48,62,0.046153846153846156
38968937707,2022-11-04T09:03:00Z,83,21,18,44,68,63,0.06115107913669065
38968937706,2022-11-03T06:54:30Z,77,17,19,41,84,64,0.05905905905905906
38968937704,2022-11-02T08:06:00Z,68,21,13,34,41,64,0.0638002773925104
38930708200,2022-11-01T06:30:30Z,87,22,23,42,99,67,0.05198776758409786
38838254792,2022-10-24T07:59:30Z,76,17,18,41,59,70,0.10776186887716654
38838254790,2022-10-23T06:53:30Z,87,25,17,45,144,71,0.05712219812002892
38817579830,2022-10-22T11:25:30Z,68,21,13,34,57,69,0.06891271056661562
38803514064,2022-10-21T07:34:00Z,76,20,14,42,65,67,0.0918230563002681
38791144023,2022-10-20T06:05:00Z,85,22,21,42,97,68,0.04757185332011893
38782980565,2022-10-19T04:00:30Z,68,17,16,35,70,66,0.0724450194049159
38782980564,2022-10-18T06:34:30Z,81,18,20,43,51,66,0.05708245243128964
38782980563,2022-10-17T14:53:00Z,72,16,12,44,57,65,0.08916666666666667
38746762725,2022-10-16T06:42:00Z,72,18,21,33,96,65,0.053545586107091175
38740753379,2022-10-15T23:10:30Z,70,21,13,36,73,64,0.09379128137384413
38733603108,2022-10-15T03:01:30Z,61,21,12,28,41,64,0.06349206349206349
38721941885,2022-10-14T05:49:30Z,80,20,14,46,101,61,0.0656013456686291
38710558394,2022-10-13T06:01:00Z,78,21,17,40,66,63,0.06734006734006734
38696818383,2022-10-12T05:59:30Z,78,17,20,41,47,63,0.055281342546890426
38681744414,2022-10-11T05:19:00Z,86,20,24,42,50,66,0.011750881316098707
38676298832,2022-10-10T19:30:30Z,58,17,14,27,7,67,0.04127579737335835
38671823174,2022-10-10T11:16:30Z,79,19,25,35,47,67,0.03571428571428571
38667609243,2022-10-10T06:28:00Z,78,22,15,41,97,67,0.07541625857002938
38657607207,2022-10-09T07:10:00Z,81,19,17,45,52,66,0.06465517241379311
38648514970,2022-10-08T10:57:30Z,84,25,15,44,173,64,0.05286024619840695
38633963681,2022-10-07T05:02:30Z,78,22,13,43,91,62,0.04394426580921758
38620937999,2022-10-06T04:37:00Z,78,16,20,42,61,62,0.03908794788273615
38613660141,2022-10-05T11:33:30Z,85,22,18,45,140,63,0.05566343042071197
38598779532,2022-10-04T04:44:30Z,78,17,24,37,58,65,0.06090808416389812
38585726980,2022-10-03T05:19:00Z,82,17,23,42,85,66,0.05360824742268041
38575785331,2022-10-02T05:44:00Z,83,21,17,45,67,64,0.06930693069306931
38564916401,2022-10-01T07:04:00Z,82,17,19,46,52,65,0.06359447004608294
38552390239,2022-09-30T05:01:30Z,89,20,23,46,45,65,0.05144995322731525
38543108382,2022-09-29T08:58:30Z,88,19,23,46,114,68,0.07361002349256068
38529714294,2022-09-28T06:58:30Z,87,20,22,45,78,68,0.05568627450980392
38512734298,2022-09-27T07:05:30Z,86,21,22,43,72,70,0.0705229793977813
38505310332,2022-09-26T06:59:00Z,90,19,24,47,105,72,0.014414414414414415
38498329431,2022-09-25T14:25:00Z,55,12,20,23,,69,0.04390243902439024
38495509261,2022-09-25T08:51:00Z,77,21,14,42,78,69,0.06572295247724974
38484832267,2022-09-24T08:49:30Z,70,17,24,29,5,69,0.02626641651031895
38480933973,2022-09-24T02:47:30Z,72,21,14,37,53,69,0.055341055341055344
38467466921,2022-09-23T08:33:00Z,85,19,21,45,23,72,0.03983402489626556
38458543842,2022-09-22T03:59:00Z,85,21,21,43,55,70,0.038802660753880266
38436323925,2022-09-20T08:02:00Z,81,20,25,36,49,69,0.03315881326352531
38432300723,2022-09-20T02:03:30Z,63,18,20,25,9,69,0.005671077504725898
38418034144,2022-09-19T06:59:00Z,83,17,22,44,53,69,0.04011670313639679
38410424736,2022-09-18T06:50:00Z,79,14,20,45,14,68,0.034126984126984124
38401064453,2022-09-17T08:06:30Z,90,22,23,45,90,67,0.031892274982282066
38390536521,2022-09-16T08:49:00Z,84,18,20,46,68,67,0.03672316384180791
38372577885,2022-09-15T08:34:30Z,88,20,24,44,118,67,0.054497701904136574
38371359943,2022-09-14T15:49:30Z,47,16,8,23,4,64,0.2035225048923679
38369172631,2022-09-14T09:31:30Z,58,15,13,30,46,64,0.061083743842364535
38353850786,2022-09-13T05:47:30Z,84,20,25,39,49,65,0.036757775683317624
